"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84"
"Time",0.01,0.29,0.01,0.18,NA,NA,0.03,1.44,NA,NA,NA,0.08,0.17,0.31,0.01,0.15,NA,0.01,1.36,0.04,0.08,NA,NA,NA,0.21,0.17,0.21,0.18,NA,NA,0.01,1.38,NA,NA,0.13,NA,0.26,0.01,0.19,0.02,0.88,NA,1.5,1.37,NA,0.01,0.01,NA,0.25,0.24,0.19,0.2,0.84,NA,1.5,0.01,0.04,NA,NA,NA,0.24,0.2,0.25,0.17,NA,0.14,2.4,3.38,NA,NA,NA,0.28,0.21,0.03,0.01,0.23,0.02,0.66,0.02,4.62,NA,NA,NA,NA
"Time",0.2,0.03,0.01,0.01,NA,NA,1.48,1.42,0.05,0.06,NA,NA,0.21,0.01,0.23,0.18,NA,6.49,1.34,4.37,NA,NA,NA,NA,0.25,0.2,0.18,0.26,0.03,NA,1.42,1.49,NA,NA,NA,NA,0.18,0.01,0.01,0.01,NA,NA,1.37,0.01,NA,NA,NA,NA,0.01,0.01,0.16,0.22,0.01,0.07,7.75,4.66,0.09,0.03,0.04,0.11,0.16,0.15,0.2,0.2,NA,NA,1.42,1.37,0.01,NA,NA,NA,0.22,0.18,0.2,0.22,1.1,0.02,0.01,0.02,NA,NA,0.1,NA
"Time",0.01,0.2,0.2,0.18,NA,9.54,2.39,1.29,NA,NA,NA,NA,0.19,0.24,0.17,0.17,NA,NA,1.36,1.38,NA,NA,NA,0.08,0.24,0.21,0.22,0.01,13.04,NA,0.04,0.05,NA,NA,0.12,NA,0.2,0.26,0.21,0.23,0.07,NA,0.02,2.5,NA,NA,NA,NA,0.01,0.01,0.22,0.18,NA,0.01,0.02,2.48,NA,NA,NA,NA,0.01,0.01,0.23,0.01,0.01,NA,0.02,1.59,NA,NA,NA,NA,0.23,0.27,0.25,0.16,1.28,0.8,0.07,4.65,NA,NA,NA,NA
"Time",0.21,0.21,0.2,0.16,NA,NA,1.13,0.02,0.11,NA,0.02,0.23,0.28,0.19,0.18,0.19,NA,NA,0.01,0.01,0.02,0.01,NA,NA,0.22,0.21,0.01,0.21,NA,NA,1.43,1.34,NA,NA,0.13,0.05,0.2,0.18,0.01,0.21,NA,0.02,1.6,1.33,NA,NA,NA,NA,0.18,0.01,0.21,0.2,NA,0.01,3.52,2.64,NA,0.01,NA,0.05,0.01,0.21,0.18,0.19,0.03,19.47,0.01,1.5,NA,NA,NA,0.2,0.02,0.01,0.01,0.01,15.8,1.12,3.35,0.02,NA,NA,NA,NA
"Time",0.21,0.24,0.21,0.23,NA,0.01,1.28,1.26,0.03,NA,NA,0.08,0.21,0.22,0.17,0.25,NA,NA,1.33,1.43,0.01,NA,NA,0.14,0.22,0.21,0.17,0.2,NA,NA,1.42,2.61,NA,NA,NA,NA,0.2,0.18,0.2,0.02,0.03,NA,2.49,0.01,NA,0.08,NA,0.02,0.23,0.22,0.18,0.01,NA,0.07,2.44,2.55,0.28,NA,NA,NA,0.03,0.01,0.18,0.2,0.01,0.01,1.26,0.02,NA,NA,0.28,NA,0.17,0.2,0.17,0.01,1.43,1.05,2.72,2.45,NA,0.07,0.02,NA
"Time",0.22,0.18,0.18,0.23,NA,NA,0.01,1.29,0.02,NA,NA,0.34,0.26,0.03,0.27,0.27,NA,NA,1.38,2.5,NA,0.03,NA,NA,0.2,0.19,0.29,0.18,0.01,NA,1.34,1.5,NA,NA,NA,NA,0.21,0.16,0.16,0.26,0.02,0.04,5.31,1.47,NA,0.02,0.03,NA,0.02,0.22,0.18,0.28,NA,0.86,2.47,2.78,NA,0.1,NA,NA,0.23,0.01,0.29,0.18,0.02,NA,0.01,1.34,0.05,NA,0.05,NA,0.21,0.18,0.19,0.22,0.8,3.02,3.59,3.52,NA,0.01,NA,NA
"Time",0.35,0.16,0.18,0.01,NA,14.56,1.16,0.05,NA,0.18,NA,NA,0.01,0.19,0.18,0.19,NA,NA,1.32,1.39,0.06,NA,NA,NA,0.18,0.17,0.18,0.2,0.01,NA,0.02,0.02,NA,0.02,NA,NA,0.23,0.15,0.17,0.01,NA,NA,1.38,0.01,0.02,NA,NA,NA,0.16,0.17,0.19,0.01,NA,6.57,1.67,2.75,NA,NA,NA,NA,0.22,0.17,0.18,0.19,NA,17.49,7.25,1.5,0.01,NA,NA,NA,0.2,0.21,0.2,0.2,0.83,2.56,2.47,4.49,0.2,0.16,NA,NA
"Time",0.01,0.19,0.01,0.2,0.01,0.03,1.17,1.4,NA,NA,0.03,NA,0.19,0.26,0.17,0.2,NA,NA,0.04,0.02,NA,NA,NA,NA,0.21,0.23,0.18,0.02,NA,NA,1.35,1.22,0.17,NA,NA,NA,0.25,0.24,0.2,0.01,NA,8.47,1.52,1.61,0.39,0.13,0.04,0.07,0.18,0.19,0.01,0.22,NA,NA,5.52,2.61,NA,NA,0.02,NA,0.01,0.24,0.16,0.01,NA,NA,0.04,4.37,NA,NA,NA,NA,0.29,0.22,0.01,0.16,0.01,0.09,0.88,2.39,0.02,NA,NA,NA
"Time",0.19,0.01,0.19,0.01,NA,NA,1.26,0.01,NA,NA,NA,NA,0.19,0.21,0.18,0.21,0.03,0.03,2.37,1.45,NA,NA,NA,0.1,0.01,0.22,0.2,0.2,NA,0.02,0.03,1.5,0.07,NA,NA,NA,0.01,0.34,0.18,0.01,NA,NA,2.4,0.11,NA,NA,NA,NA,0.26,0.01,0.19,0.18,0.03,1.18,5.64,1.71,NA,NA,0.03,0.12,0.02,0.01,0.01,0.01,NA,0.03,3.57,3.5,NA,NA,NA,NA,0.19,0.2,0.01,0.19,0.75,0.03,0.01,6.36,NA,0.07,0.26,NA
"Time",0.01,0.01,0.2,0.03,NA,0.07,0.02,1.42,NA,NA,0.02,0.01,0.21,0.01,0.01,0.21,0.01,NA,2.41,0.03,NA,NA,NA,NA,0.16,0.21,0.22,0.22,NA,NA,1.39,1.45,NA,0.03,NA,NA,0.21,0.2,0.27,0.2,NA,1.04,1.52,0.01,NA,0.01,0.01,NA,0.26,0.19,0.2,0.25,NA,0.95,0.7,7.6,NA,0.08,0.02,NA,0.21,0.01,0.19,0.16,NA,NA,3.44,1.39,NA,NA,NA,NA,0.18,0.19,0.18,0.18,NA,1.03,2.59,0.03,NA,0.01,NA,NA
