"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84"
"Time",0.19,0.25,0.18,0.2,0.01,NA,1.41,1.37,NA,NA,NA,NA,0.22,0.18,0.23,0.17,NA,NA,1.29,0.01,NA,NA,NA,0.09,0.01,0.01,0.01,0.21,NA,10.4,1.3,1.48,NA,NA,NA,0.04,0.18,0.18,0.24,0.01,NA,NA,5.47,0.02,NA,NA,NA,0.45,0.2,0.21,0.01,0.01,0.02,4.71,0.02,0.02,NA,NA,NA,NA,0.2,0.26,0.2,0.18,NA,NA,0.02,2.57,NA,NA,NA,NA,0.16,0.21,0.21,0.16,NA,0.05,2.65,2.45,NA,NA,NA,NA
"Time",0.24,0.27,0.19,0.21,NA,NA,1.26,2.3,NA,NA,NA,NA,0.25,0.2,0.21,0.17,NA,0.03,2.43,1.41,NA,NA,NA,NA,0.01,0.22,0.2,0.2,NA,NA,1.54,0.06,0.01,NA,NA,0.06,0.01,0.26,0.19,0.2,NA,NA,2.4,1.51,0.02,NA,NA,NA,0.22,0.23,0.17,0.01,0.77,NA,0.01,2.74,NA,0.08,NA,NA,0.2,0.02,0.01,0.18,NA,NA,0.01,0.02,NA,0.1,NA,NA,0.23,0.19,0.2,0.24,1.16,NA,2.57,2.55,NA,NA,NA,NA
"Time",0.01,0.24,0.18,0.01,NA,0.09,2.35,1.19,0.24,NA,0.09,NA,0.23,0.17,0.26,0.15,NA,NA,1.36,1.26,NA,NA,NA,NA,0.27,0.17,0.21,0.01,NA,17.49,1.43,1.49,NA,0.04,0.13,0.14,0.25,0.25,0.19,0.26,NA,NA,2.62,1.34,NA,NA,NA,NA,0.18,0.21,0.18,0.21,NA,0.12,10.52,0.14,0.02,NA,0.02,NA,0.19,0.22,0.18,0.24,0.01,15.9,0.02,1.37,NA,NA,NA,NA,0.26,0.22,0.17,0.19,18.03,0.07,0.01,0.04,NA,NA,0.1,NA
"Time",0.03,0.01,0.18,0.01,NA,0.01,0.01,0.02,NA,0.23,NA,0.03,0.2,0.01,0.01,0.15,0.03,NA,0.02,0.01,0.03,NA,NA,NA,0.2,0.21,0.18,0.01,NA,NA,1.43,3.39,0.03,NA,NA,NA,0.23,0.01,0.01,0.2,NA,6.51,1.4,2.51,NA,NA,NA,NA,0.2,0.01,0.19,0.18,0.01,0.02,1.48,0.02,NA,NA,NA,NA,0.22,0.22,0.18,0.15,0.02,NA,6.37,0.02,0.08,0.08,0.07,NA,0.02,0.22,0.23,0.17,1.78,0.79,1.41,3.49,NA,NA,NA,NA
"Time",0.22,1.32,0.18,0.24,NA,NA,1.34,1.35,NA,NA,NA,NA,0.16,0.16,0.17,0.21,0.03,10.42,2.44,0.03,NA,0.38,NA,NA,0.01,0.01,0.23,0.18,0.04,NA,0.02,2.53,NA,NA,NA,NA,0.31,0.17,0.24,0.26,NA,NA,3.52,1.38,NA,NA,NA,NA,0.01,0.22,0.17,0.17,1.2,0.95,2.52,4.53,NA,NA,NA,NA,0.23,0.21,0.17,0.01,0.83,0.01,4.72,1.44,0.21,NA,NA,NA,0.01,0.21,0.2,0.19,0.99,NA,2.81,0.01,NA,0.05,NA,NA
"Time",0.23,0.01,0.21,0.16,NA,0.09,1.45,1.33,0.01,NA,NA,0.07,0.22,0.26,0.23,0.17,0.03,15.46,1.41,1.36,NA,NA,0.26,NA,0.2,0.27,0.21,0.2,NA,NA,1.4,1.39,0.01,NA,NA,NA,0.01,0.18,0.21,0.24,0.93,0.02,1.4,1.53,NA,NA,NA,NA,0.01,0.01,0.21,0.18,0.02,NA,1.58,0.01,NA,NA,NA,NA,0.28,0.01,0.19,0.22,8.53,0.01,2.38,3.56,NA,NA,0.05,NA,0.19,0.01,0.21,0.18,0.02,1.24,10.29,0.01,0.06,NA,NA,NA
"Time",0.01,0.22,0.21,0.23,0.04,0.01,1.14,1.27,0.02,NA,NA,NA,0.19,0.01,0.19,0.22,NA,NA,1.36,1.37,NA,NA,NA,0.05,0.21,0.19,0.2,0.2,NA,0.01,1.47,1.51,0.02,NA,0.01,NA,0.21,0.01,0.23,0.22,NA,0.02,0.02,0.03,NA,NA,NA,0.07,0.19,0.17,0.19,0.24,0.01,0.02,3.84,0.04,NA,NA,NA,NA,0.22,0.03,0.18,0.17,NA,NA,0.01,0.01,NA,NA,NA,NA,0.01,0.21,0.18,0.17,0.02,NA,3.68,5.66,0.02,NA,0.41,NA
"Time",0.27,0.27,0.17,0.19,NA,NA,0.01,1.09,NA,0.18,NA,NA,0.01,0.19,0.22,0.01,NA,NA,2.41,0.02,0.08,NA,0.28,NA,0.01,0.01,0.2,0.19,0.04,NA,1.5,1.36,NA,0.02,NA,NA,0.01,0.01,0.02,0.01,NA,9.61,1.44,2.38,NA,NA,NA,0.24,0.18,0.18,0.21,0.01,0.01,0.05,5.51,0.03,NA,NA,NA,0.14,0.22,0.17,0.23,0.18,0.88,0.01,3.41,1.33,NA,NA,NA,NA,0.2,0.16,0.21,0.18,0.01,1.22,2.55,2.44,0.07,NA,NA,0.03
"Time",0.02,0.22,0.17,0.29,NA,19.49,0.02,1.26,NA,NA,NA,NA,0.19,0.01,0.18,0.2,0.07,NA,1.41,1.49,NA,NA,NA,NA,0.19,0.2,0.01,0.01,NA,14.52,1.35,2.46,NA,NA,NA,NA,0.22,0.25,0.2,0.16,NA,NA,1.45,1.48,0.02,NA,NA,NA,0.21,0.22,0.01,0.16,0.89,12.47,3.59,0.02,NA,NA,NA,0.38,0.24,0.19,0.01,0.01,1.09,NA,1.35,2.48,NA,NA,NA,NA,0.01,0.29,0.17,0.01,0.79,0.77,0.02,0.01,NA,NA,NA,NA
"Time",0.19,0.19,0.17,0.01,0.04,0.01,1.14,1.23,NA,0.01,NA,NA,0.27,0.18,0.19,0.24,NA,NA,1.38,2.6,NA,0.08,NA,0.05,0.18,0.01,0.19,0.23,NA,NA,0.01,1.7,NA,NA,NA,NA,0.2,0.29,0.23,0.01,1.1,0.02,1.54,2.44,0.01,NA,NA,NA,0.18,0.01,0.16,0.18,1.02,0.02,3.41,8.52,NA,NA,NA,0.07,0.24,0.22,0.17,0.16,1.09,NA,0.03,3.55,NA,NA,NA,0.25,0.23,0.17,0.18,0.18,NA,2.38,2.63,2.54,NA,NA,NA,0.01
"Time",0.2,0.2,0.19,0.2,NA,0.01,1.49,1.34,NA,NA,NA,0.04,0.24,0.21,0.21,0.19,NA,NA,1.36,1.28,NA,NA,NA,NA,0.19,0.01,0.01,0.19,NA,NA,2.47,1.58,0.12,NA,NA,NA,0.37,0.01,0.17,0.16,NA,0.01,4.34,1.52,0.04,NA,NA,NA,0.01,0.18,0.01,0.23,0.04,NA,0.05,1.52,NA,NA,NA,NA,0.21,0.23,0.01,0.02,NA,18.67,1.43,1.14,NA,NA,0.06,NA,0.24,0.22,0.2,0.16,0.05,NA,2.43,0.07,NA,NA,0.59,NA
"Time",0.21,0.18,0.17,0.22,0.01,NA,0.03,0.05,NA,NA,NA,NA,0.01,0.02,0.21,0.2,0.01,NA,0.01,0.01,NA,NA,NA,NA,0.01,0.2,0.18,0.19,NA,NA,2.46,3.47,0.08,NA,NA,NA,0.18,0.17,0.21,0.18,NA,0.03,0.04,1.46,NA,0.06,NA,0.05,0.26,0.18,0.17,0.25,NA,NA,2.52,2.62,0.23,0.12,NA,0.02,0.18,0.22,0.24,0.01,NA,0.01,0.02,0.01,NA,NA,NA,NA,0.23,0.26,0.01,0.18,0.05,0.02,0.03,6.5,0.04,NA,NA,0.05
"Time",0.28,0.18,0.01,0.01,NA,NA,1.22,1.33,NA,NA,NA,0.07,0.01,0.01,0.15,0.2,NA,0.02,0.01,1.52,NA,NA,NA,NA,0.21,0.01,0.21,0.19,0.03,10.69,0.03,2.33,NA,NA,NA,0.06,0.2,0.21,0.16,0.2,0.01,0.04,1.45,3.33,NA,NA,NA,NA,0.19,0.01,0.19,0.16,NA,0.97,0.08,4.6,NA,NA,NA,0.03,0.26,0.17,0.01,0.22,0.04,NA,1.42,1.41,NA,0.08,NA,NA,0.26,0.22,0.01,0.21,NA,1.39,2.51,2.43,NA,NA,NA,NA
"Time",0.01,0.19,0.18,0.01,NA,0.03,1.33,1.46,NA,NA,0.11,NA,0.01,0.21,0.01,0.2,NA,NA,0.01,0.13,0.13,NA,NA,NA,0.21,0.17,0.02,0.24,NA,NA,1.33,1.3,NA,NA,NA,0.04,0.23,0.22,0.18,0.01,NA,3.6,1.42,0.03,NA,NA,NA,0.12,0.01,0.24,0.16,0.22,0.03,11.6,3.53,4.93,NA,NA,0.16,0.06,0.2,0.17,0.2,0.18,NA,NA,0.11,1.37,NA,NA,NA,NA,0.01,0.19,0.23,0.22,NA,18.88,4.62,0.06,NA,NA,0.01,NA
"Time",0.24,0.01,0.16,0.01,NA,0.07,1.3,1.31,NA,NA,NA,NA,0.21,0.2,0.22,0.01,NA,0.01,1.58,1.41,NA,NA,NA,NA,0.2,0.01,0.17,0.17,NA,0.01,1.64,2.5,0.1,NA,NA,NA,0.01,0.21,0.28,0.23,NA,NA,0.04,1.4,0.06,NA,NA,NA,0.2,0.18,0.19,0.2,0.03,NA,0.01,10.52,NA,NA,NA,NA,0.29,0.21,0.01,0.24,0.85,4.57,0.01,2.45,0.02,NA,NA,NA,0.01,0.01,0.19,0.19,0.95,NA,0.01,2.42,0.13,NA,NA,NA
"Time",0.02,0.21,0.17,0.01,NA,NA,1.3,1.47,NA,NA,0.04,NA,0.24,0.18,0.17,0.24,0.06,NA,1.53,1.43,NA,NA,NA,NA,0.01,0.28,0.01,0.03,NA,0.03,1.38,1.39,NA,NA,NA,NA,0.19,0.2,0.21,0.2,0.06,0.03,1.49,1.47,NA,0.13,NA,NA,0.01,0.22,0.19,0.2,NA,0.13,1.49,3.44,NA,NA,0.02,NA,0.2,0.01,0.19,0.19,NA,NA,1.75,1.44,NA,NA,NA,NA,0.25,0.01,0.26,0.21,1.07,NA,0.05,0.04,NA,NA,NA,0.13
"Time",0.19,0.19,0.01,0.22,NA,NA,1.16,1.29,NA,NA,NA,NA,0.41,0.01,0.18,0.23,NA,0.03,6.36,0.14,NA,NA,0.02,0.17,0.21,0.18,0.01,0.19,0.05,NA,3.42,1.47,NA,NA,NA,NA,0.19,0.01,0.22,0.18,NA,NA,1.44,1.42,0.03,NA,NA,NA,0.2,0.21,0.2,0.2,NA,NA,7.6,1.39,NA,0.14,NA,NA,0.26,0.22,0.19,0.2,NA,NA,3.36,0.01,NA,NA,NA,NA,0.22,0.22,0.21,0.01,0.96,0.03,1.48,2.65,0.26,NA,0.09,NA
"Time",0.27,0.18,0.22,0.21,0.03,0.02,1.28,0.01,NA,0.37,0.16,0.01,0.23,0.25,0.25,0.17,0.03,NA,0.04,3.48,NA,NA,NA,NA,0.01,0.23,0.23,0.17,NA,NA,1.45,1.4,NA,NA,NA,NA,0.3,0.2,0.18,0.01,NA,NA,1.55,2.46,NA,NA,0.25,0.1,0.01,0.21,0.23,0.18,0.03,NA,2.38,2.58,0.13,NA,NA,NA,0.2,0.02,0.2,0.27,NA,NA,1.54,1.39,NA,NA,NA,NA,0.01,0.17,0.01,0.19,0.76,0.01,6.57,3.53,NA,NA,NA,NA
"Time",0.2,0.18,0.2,0.18,NA,NA,1.38,1.12,NA,NA,NA,NA,1.16,0.23,0.15,0.01,NA,0.01,2.45,2.39,NA,NA,NA,0.01,0.22,0.01,0.02,0.2,0.88,NA,2.56,1.47,NA,NA,NA,0.01,0.01,0.29,0.18,0.23,NA,NA,3.45,1.49,NA,NA,NA,NA,0.25,0.24,0.25,0.2,0.8,10.76,2.62,3.58,NA,NA,NA,NA,0.22,0.01,0.17,0.27,1.17,NA,2.47,3.53,NA,NA,NA,NA,0.21,0.2,0.01,0.2,0.01,0.01,3.41,0.05,NA,NA,NA,NA
"Time",0.21,0.17,0.01,0.19,NA,0.02,0.03,1.29,NA,NA,NA,NA,0.21,0.02,0.22,0.01,NA,NA,4.44,1.45,NA,0.03,0.01,NA,0.26,0.01,0.01,0.26,NA,NA,1.44,1.37,NA,0.03,NA,NA,0.22,0.01,0.19,0.01,NA,NA,1.48,1.59,NA,0.35,NA,0.03,0.22,0.01,0.01,0.01,0.98,NA,5.54,7.65,NA,NA,NA,NA,0.19,0.17,0.19,0.21,NA,NA,1.54,7.5,NA,NA,NA,0.06,0.01,0.21,0.01,0.21,1.6,0.02,5.68,7.67,NA,NA,NA,0.13
"Time",0.23,0.24,0.23,0.02,0.01,18.56,1.29,1.28,NA,0.04,NA,NA,0.28,0.32,0.2,0.16,NA,NA,1.47,1.26,NA,NA,NA,NA,0.01,0.16,0.2,0.01,NA,8.52,0.01,3.32,NA,NA,NA,NA,0.23,0.01,0.18,0.2,0.05,NA,7.37,0.04,NA,0.07,NA,NA,0.01,0.17,0.01,0.18,NA,NA,4.5,1.56,NA,NA,NA,NA,0.2,0.22,0.01,0.22,0.03,9.49,1.56,0.04,NA,NA,NA,NA,0.19,0.17,0.22,0.01,NA,0.01,2.65,3.58,NA,NA,NA,0.06
"Time",0.2,0.27,0.2,0.16,0.04,NA,1.21,1.26,NA,NA,0.01,0.09,0.21,0.2,0.23,0.16,NA,14.6,1.62,2.49,0.02,NA,NA,NA,0.22,0.2,0.19,0.16,0.01,6.62,1.32,1.39,NA,NA,NA,0.11,0.17,0.01,0.21,0.22,NA,3.56,1.43,1.48,NA,0.27,0.01,NA,0.21,0.2,0.22,0.19,NA,0.01,2.42,3.71,NA,0.53,NA,NA,0.02,0.01,0.16,0.2,NA,NA,7.39,0.02,NA,0.2,NA,0.19,0.21,0.23,0.17,0.21,8.86,0.01,0.01,1.63,0.1,NA,NA,NA
"Time",0.21,0.28,0.2,0.22,NA,0.01,1.54,2.39,NA,NA,NA,NA,0.01,0.22,0.19,0.17,NA,19.62,1.39,1.57,0.03,0.06,NA,NA,0.01,0.24,0.2,0.2,0.03,NA,2.72,1.44,NA,NA,NA,0.04,0.01,0.24,0.01,0.18,NA,NA,0.02,1.41,NA,NA,0.02,0.01,0.01,0.18,0.02,0.19,NA,17.73,3.31,0.02,0.11,0.08,NA,0.06,0.23,0.21,0.03,0.18,NA,0.02,1.4,1.38,NA,0.06,NA,NA,0.2,0.21,0.22,0.23,NA,0.02,9.49,2.51,NA,NA,NA,NA
"Time",0.01,0.24,0.18,0.19,NA,0.07,1.48,1.49,0.02,NA,NA,NA,0.35,0.22,0.01,0.21,0.03,NA,0.01,1.22,NA,NA,NA,NA,0.27,0.24,0.24,0.19,0.08,15.64,4.48,1.3,NA,0.25,NA,NA,0.25,0.02,0.02,0.23,0.03,0.01,1.49,1.29,NA,NA,0.21,NA,0.17,0.01,0.02,0.19,0.03,NA,11.42,3.66,NA,NA,0.13,NA,0.01,0.19,0.2,0.18,0.02,0.01,9.5,1.34,NA,NA,NA,NA,0.26,0.25,0.17,0.01,0.98,0.01,2.36,1.46,NA,NA,NA,NA
"Time",0.23,0.24,0.26,0.19,NA,17.49,1.25,1.27,NA,NA,NA,NA,0.23,0.24,0.19,0.18,0.01,0.04,1.4,1.38,0.04,NA,NA,0.06,0.01,0.18,0.18,0.16,NA,NA,0.02,0.01,NA,NA,NA,0.09,0.2,0.18,0.17,0.18,NA,0.07,1.43,1.41,0.22,0.05,NA,NA,0.18,0.19,0.18,0.24,0.92,NA,1.49,3.59,NA,NA,0.1,0.09,0.27,0.19,0.21,0.19,0.01,NA,1.38,0.01,NA,NA,0.09,NA,0.23,0.28,0.18,0.17,NA,13.6,0.01,2.67,NA,NA,0.2,NA
"Time",0.01,0.2,0.18,0.18,NA,NA,0.03,1.24,NA,NA,NA,NA,0.01,0.02,0.01,0.18,NA,0.03,1.46,1.47,NA,NA,0.09,0.05,0.22,0.2,0.01,0.18,NA,NA,0.01,1.4,NA,NA,NA,NA,0.28,0.01,0.15,0.21,0.96,5.43,1.63,0.01,NA,NA,NA,NA,0.24,0.2,0.2,0.18,0.01,NA,2.5,0.03,NA,NA,NA,NA,0.16,0.21,0.18,0.19,0.04,NA,1.39,0.03,NA,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,0.95,5.4,0.01,NA,NA,NA,NA
"Time",0.21,0.22,0.22,0.2,0.02,0.01,1.38,0.01,0.05,NA,NA,NA,0.18,0.28,0.18,0.23,0.01,NA,0.02,2.43,NA,NA,NA,NA,0.22,0.23,0.21,0.17,0.03,0.03,0.01,1.49,NA,0.09,NA,NA,0.01,0.24,0.17,0.17,NA,NA,0.02,1.5,NA,NA,NA,NA,0.22,0.2,0.2,0.22,0.01,9.71,2.61,2.47,NA,NA,0.03,NA,0.17,0.18,0.18,0.19,NA,2.4,0.02,1.63,NA,0.07,0.06,NA,0.01,0.2,0.2,0.16,NA,3.64,2.74,2.61,NA,NA,NA,NA
"Time",0.2,0.22,0.17,0.01,NA,4.52,1.22,1.42,NA,NA,NA,0.03,0.01,0.01,0.19,0.2,0.06,NA,5.41,1.34,NA,NA,0.1,NA,0.21,0.23,0.02,0.01,NA,0.05,1.6,0.03,0.21,0.04,NA,NA,0.19,0.18,0.2,0.01,NA,NA,0.07,0.08,NA,NA,0.07,NA,0.19,0.19,0.19,0.02,NA,1.09,3.47,2.45,NA,NA,NA,NA,0.2,0.22,0.01,0.24,NA,5.51,1.66,1.44,NA,NA,NA,0.02,0.25,0.21,0.22,0.23,0.92,NA,9.51,0.04,0.04,NA,0.11,NA
"Time",0.25,0.21,0.22,0.22,NA,NA,1.32,0.06,0.01,NA,NA,NA,0.22,0.18,0.21,0.01,NA,0.03,0.01,0.02,NA,NA,NA,0.01,0.01,0.01,0.21,0.22,0.04,NA,1.39,1.26,0.01,NA,NA,NA,0.22,0.01,0.18,0.17,NA,NA,2.45,0.01,0.07,NA,NA,NA,0.17,0.18,0.2,0.2,0.03,0.06,5.64,1.64,NA,NA,NA,NA,0.21,0.01,0.19,0.18,NA,NA,2.62,0.03,NA,0.06,NA,NA,0.2,0.2,0.01,0.01,0.92,14.75,0.01,8.46,0.09,0.07,NA,NA
"Time",0.22,0.17,0.18,0.18,0.03,NA,1.41,0.01,0.24,NA,NA,NA,0.24,0.2,0.19,0.02,0.01,NA,1.38,1.37,NA,NA,0.01,NA,0.18,0.01,0.01,0.01,NA,NA,1.46,1.37,NA,0.09,NA,NA,0.18,0.01,0.2,0.2,NA,NA,6.41,0.06,0.29,NA,NA,NA,0.16,0.19,0.18,0.2,1.14,0.02,2.5,1.47,NA,NA,0.05,NA,0.29,0.22,0.2,0.2,0.85,NA,2.58,2.41,NA,NA,NA,NA,0.2,0.01,0.17,0.16,NA,0.73,5.45,3.48,NA,NA,NA,NA
"Time",0.31,0.01,0.21,0.18,NA,NA,1.19,1.3,0.11,NA,NA,NA,0.01,0.23,0.22,0.2,NA,NA,1.42,4.44,NA,NA,NA,NA,0.19,0.19,0.24,0.01,NA,NA,2.44,1.47,NA,NA,NA,NA,0.22,0.22,0.22,0.22,NA,0.03,5.39,3.5,0.23,0.27,NA,0.05,0.21,0.01,0.01,0.18,NA,15.48,2.56,1.69,NA,0.06,NA,NA,0.02,0.2,0.18,0.19,NA,5.43,2.68,1.52,NA,NA,NA,NA,0.2,0.25,0.01,0.17,NA,0.03,2.51,2.56,NA,0.15,0.09,NA
"Time",0.23,0.19,0.19,0.25,NA,NA,0.02,1.32,NA,NA,NA,NA,0.19,0.01,0.2,0.21,NA,0.07,1.39,0.02,0.2,NA,NA,NA,0.23,0.2,0.22,0.22,NA,NA,2.39,1.48,NA,0.22,NA,NA,0.2,0.02,0.2,0.18,NA,2.45,4.48,1.44,NA,NA,NA,NA,0.18,0.21,0.24,0.24,NA,0.02,2.58,0.03,NA,0.12,NA,NA,0.01,0.2,0.19,0.01,NA,NA,1.4,3.46,0.09,0.04,NA,NA,0.2,0.22,0.21,0.17,0.99,NA,0.01,0.01,NA,NA,NA,NA
"Time",0.01,0.19,0.19,0.18,NA,3.4,0.06,0.05,NA,NA,0.01,0.35,0.19,0.22,0.01,0.18,NA,0.02,2.43,1.4,NA,0.03,NA,0.09,0.19,0.19,0.19,0.17,NA,NA,2.35,0.02,0.05,NA,NA,NA,0.01,0.22,0.18,0.03,NA,NA,0.04,1.56,NA,NA,NA,0.79,0.19,0.22,0.16,0.23,NA,NA,10.36,0.01,NA,NA,0.17,0.08,0.22,0.2,0.17,0.21,NA,0.02,1.51,1.34,NA,0.08,0.12,NA,0.23,0.19,0.26,0.21,NA,0.97,7.48,2.53,NA,NA,NA,NA
"Time",0.01,0.2,0.21,0.01,NA,2.49,3.37,1.26,0.15,NA,NA,NA,0.01,0.19,0.01,0.2,NA,NA,1.46,1.34,0.32,NA,NA,NA,0.01,0.21,0.17,0.01,NA,0.05,2.49,1.6,0.08,NA,NA,0.02,0.18,0.01,0.21,0.01,0.01,NA,1.43,1.35,NA,NA,NA,NA,0.02,0.22,0.19,0.2,1.1,0.75,2.56,2.5,NA,NA,0.13,0.12,0.21,0.22,0.02,0.16,NA,NA,3.49,2.45,0.33,NA,0.12,NA,0.01,0.19,0.01,0.2,0.87,0.01,6.57,4.46,NA,NA,NA,NA
"Time",0.25,0.01,0.01,0.2,NA,NA,1.18,1.31,NA,0.03,NA,NA,0.19,0.22,0.17,0.01,0.01,NA,1.46,1.5,NA,0.01,NA,NA,0.21,0.22,0.2,0.22,NA,NA,1.35,0.03,0.01,NA,NA,NA,0.27,0.28,0.21,0.01,0.04,NA,1.4,1.38,0.06,NA,0.03,NA,0.23,0.16,0.22,0.22,10.75,1.06,0.03,14.89,0.03,NA,NA,NA,0.26,0.01,0.2,0.22,NA,NA,1.27,1.41,NA,0.01,0.03,NA,0.21,0.2,0.24,0.01,NA,2.39,3.61,0.02,NA,0.1,NA,NA
"Time",0.34,0.01,0.24,0.16,NA,0.03,8.43,1.24,NA,NA,0.05,NA,0.19,0.18,0.21,0.2,NA,NA,1.46,0.03,NA,NA,NA,NA,0.2,0.02,0.19,0.15,0.03,NA,1.4,1.36,0.16,NA,NA,0.34,0.19,0.21,0.19,0.21,19.53,0.01,1.48,1.45,NA,NA,0.01,NA,0.19,0.22,0.18,0.19,0.01,NA,1.55,6.54,NA,NA,0.04,NA,0.22,0.18,0.01,0.01,NA,NA,0.01,0.02,NA,NA,NA,NA,0.2,0.18,0.25,0.18,NA,1.13,1.52,0.08,NA,NA,0.15,NA
"Time",0.03,0.24,0.2,0.21,NA,NA,0.01,1.19,NA,NA,NA,NA,0.01,0.18,0.19,0.19,0.02,NA,1.25,1.43,NA,NA,NA,0.07,0.22,0.16,0.01,0.22,NA,NA,1.45,1.31,NA,NA,NA,NA,0.24,0.22,0.21,0.19,0.92,NA,1.44,2.46,0.23,NA,NA,NA,0.19,0.01,0.19,0.01,NA,NA,6.3,2.44,NA,NA,NA,NA,0.19,0.01,0.01,0.2,NA,0.01,1.53,1.43,NA,0.06,NA,NA,0.2,0.21,0.01,0.01,0.94,NA,4.6,4.45,NA,NA,NA,NA
"Time",0.28,0.2,0.01,0.01,0.04,NA,1.36,1.23,NA,NA,NA,NA,0.17,0.2,0.24,0.21,NA,5.68,0.01,2.45,NA,NA,NA,0.21,0.02,0.2,0.2,0.18,0.02,0.04,1.41,1.59,NA,NA,0.02,NA,0.18,0.19,0.18,0.2,NA,NA,1.36,0.06,0.09,0.01,NA,NA,0.01,0.18,0.28,0.19,0.01,4.35,2.51,2.46,0.01,NA,0.15,NA,0.01,0.22,0.27,0.19,NA,3.64,1.41,0.01,NA,NA,NA,NA,0.25,0.22,0.01,0.2,NA,0.99,10.6,0.11,NA,NA,0.03,NA
"Time",0.32,0.23,0.2,0.18,NA,0.04,2.33,1.2,NA,NA,0.05,NA,0.33,0.01,0.01,0.19,NA,17.52,1.38,1.51,NA,NA,NA,0.05,0.01,0.24,0.23,0.19,NA,NA,1.45,2.5,0.03,NA,NA,NA,0.23,0.01,0.21,0.01,0.02,NA,1.49,4.44,0.06,0.01,NA,NA,0.01,0.21,0.01,0.27,0.01,NA,0.01,2.58,NA,NA,NA,NA,0.18,0.26,0.22,0.22,1.4,NA,2.59,2.56,NA,NA,NA,NA,0.21,0.01,0.01,0.18,0.88,0.02,1.64,7.51,NA,NA,NA,0.24
"Time",0.18,0.18,0.24,0.01,NA,0.02,1.43,1.2,NA,0.07,NA,NA,0.01,0.2,0.2,0.19,NA,NA,2.5,2.37,NA,NA,NA,0.02,0.19,0.19,0.21,0.17,NA,NA,0.01,1.47,0.03,0.04,NA,NA,0.16,0.34,0.01,0.02,NA,3.5,0.01,3.41,NA,NA,0.11,0.23,0.18,0.2,0.17,0.01,0.85,10.59,5.65,1.53,NA,NA,0.03,0.05,0.29,0.19,0.01,0.22,NA,0.01,1.34,0.07,NA,0.03,NA,0.08,0.01,0.17,0.02,0.17,0.01,18.7,5.58,2.52,NA,0.11,NA,NA
"Time",0.01,0.01,0.17,0.23,0.01,NA,1.24,1.3,NA,NA,NA,NA,0.18,0.18,0.2,0.24,NA,NA,0.02,2.38,NA,NA,0.08,NA,0.22,0.17,0.19,0.22,0.02,16.63,1.27,0.01,NA,0.15,NA,0.11,0.01,0.2,0.21,0.24,NA,0.01,3.49,1.48,0.08,NA,NA,0.21,0.02,0.01,0.18,0.18,0.82,0.03,1.56,0.04,NA,0.32,NA,NA,0.22,0.17,0.01,0.18,NA,NA,0.05,8.54,NA,NA,NA,NA,0.2,0.19,0.2,0.19,NA,NA,2.67,0.02,NA,NA,NA,NA
"Time",0.21,0.01,0.01,0.01,NA,0.03,0.01,1.47,NA,0.06,0.09,NA,0.18,0.17,0.21,0.2,0.01,NA,0.02,1.47,NA,0.06,NA,NA,0.21,0.24,0.18,0.2,NA,0.02,4.42,0.02,NA,0.01,0.11,NA,0.22,0.21,0.01,0.21,0.01,NA,1.4,1.5,0.24,NA,0.02,0.03,0.01,0.18,0.19,0.01,0.03,NA,6.64,4.59,NA,0.04,NA,NA,0.01,0.28,0.18,0.23,0.01,NA,4.47,2.45,0.07,0.07,NA,NA,0.19,0.23,0.21,0.01,0.95,NA,4.6,3.75,NA,0.12,NA,NA
"Time",0.29,0.2,0.21,0.18,NA,NA,0.1,1.5,0.09,NA,NA,NA,0.21,0.22,0.21,0.21,NA,NA,1.38,1.42,NA,0.11,0.13,NA,0.01,0.17,0.02,0.28,0.02,0.03,0.04,1.57,NA,0.04,NA,NA,0.22,0.23,0.19,0.26,0.01,0.05,4.49,1.54,0.1,NA,NA,0.04,0.29,0.17,0.19,0.22,NA,0.07,3.57,1.54,NA,NA,NA,0.15,0.17,0.25,0.01,0.22,NA,NA,2.4,1.38,NA,NA,NA,NA,0.22,0.2,0.28,0.2,0.71,NA,11.34,6.47,NA,NA,NA,NA
"Time",0.21,0.18,0.01,0.2,NA,NA,0.1,1.28,NA,0.17,NA,NA,0.24,0.19,0.18,0.01,NA,0.05,4.46,1.31,0.02,0.11,0.24,NA,0.18,0.19,0.2,0.21,0.01,0.03,1.28,0.01,NA,NA,NA,NA,0.24,0.01,0.18,0.01,NA,NA,5.39,2.5,NA,NA,NA,0.06,0.01,0.25,0.19,0.2,0.85,NA,0.07,0.03,NA,NA,NA,0.06,0.32,0.24,0.16,0.19,NA,NA,2.45,2.31,NA,NA,NA,NA,0.19,0.18,0.22,0.23,0.89,1.06,12.64,10.68,NA,NA,NA,NA
